Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
15551800,2016/2/23 8:47,2016/2/23 8:54,70435,363,1038,Boulevard of the Allies & Parkview Ave,1040,Bigelow Blvd & Fifth Ave,Subscriber
15551900,2016/2/23 9:06,2016/2/23 9:16,70397,583,1015,Federal St & E North Ave,1002,Third Ave & Wood St,Subscriber
15551901,2016/2/23 9:07,2016/2/23 9:17,70340,591,1015,Federal St & E North Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
15551951,2016/2/23 9:16,2016/2/23 9:18,70361,123,1020,42nd and Penn Ave.,1019,42nd St & Butler St,Subscriber
15551953,2016/2/23 9:17,2016/2/23 9:22,70276,291,1038,Boulevard of the Allies & Parkview Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
15551982,2016/2/23 9:23,2016/2/23 9:42,70367,1131,1021,Taylor St & Liberty Ave,1000,Liberty Ave & Stanwix St,Customer
15552139,2016/2/23 9:57,2016/2/23 16:26,70489,23332,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15552308,2016/2/23 10:23,2016/2/23 10:28,70443,319,1038,Boulevard of the Allies & Parkview Ave,1037,Frew St & Schenley Dr,Subscriber
15552402,2016/2/23 10:36,2016/2/23 10:46,70292,594,1007,Stevenson St & Forbes Ave,1048,S 18th St & Sidney St,Subscriber
15552481,2016/2/23 10:46,2016/2/23 10:51,70416,328,1038,Boulevard of the Allies & Parkview Ave,1041,Fifth Ave & S Bouquet St,Subscriber
15552487,2016/2/23 10:46,2016/2/23 10:49,70312,157,1039,Atwood St & Bates St,1041,Fifth Ave & S Bouquet St,Subscriber
15552517,2016/2/23 10:51,2016/2/23 10:54,70316,200,1025,Penn Ave & N Fairmount St,1026,S Whitfield St & Baum Blvd,Subscriber
15552581,2016/2/23 10:58,2016/2/23 14:12,70398,11597,1050,Healthy Ride Hub,1033,Ivy St & Walnut St   ,Customer
15552633,2016/2/23 11:06,2016/2/23 11:34,70247,1713,1033,Ivy St & Walnut St   ,1046,S 25th St & E Carson St,Subscriber
15552723,2016/2/23 11:17,2016/2/23 11:43,70473,1583,1024,S Negley Ave & Baum Blvd,1037,Frew St & Schenley Dr,Subscriber
15552877,2016/2/23 11:37,2016/2/23 11:45,70300,531,1004,First Ave & B St (T Station),1016,17th St & Penn Ave,Subscriber
15552939,2016/2/23 11:43,2016/2/23 11:50,70319,428,1038,Boulevard of the Allies & Parkview Ave,1036,Schenley Dr at Schenley Plaza (Carnegie Library Main),Subscriber
15552965,2016/2/23 11:46,2016/2/23 12:18,70313,1925,1045,S 27th St & Tunnel Blvd (Southside Works),1033,Ivy St & Walnut St   ,Subscriber
15553299,2016/2/23 12:24,2016/2/23 12:36,70424,671,1016,17th St & Penn Ave,1004,First Ave & B St (T Station),Subscriber
15553384,2016/2/23 12:35,2016/2/23 12:46,70418,658,1028,Penn Ave & Putnam St (Bakery Square),1026,S Whitfield St & Baum Blvd,Customer
15553454,2016/2/23 12:42,2016/2/23 12:50,70267,493,1031,Maryland Ave & Ellsworth Ave,1034,Ellsworth Ave & N Neville St,Customer
15553675,2016/2/23 13:13,2016/2/23 14:11,70457,3477,1009,12th St & Penn Ave,1009,12th St & Penn Ave,Subscriber
15553729,2016/2/23 13:24,2016/2/23 13:41,70456,990,1050,Healthy Ride Hub,1050,Healthy Ride Hub,Customer
15553769,2016/2/23 13:34,2016/2/23 15:14,70307,5968,1014,Ridge Ave & Brighton Rd (CCAC),1014,Ridge Ave & Brighton Rd (CCAC),Customer
