TripId,StartTime,StopTime,BikeId,TripDuration,FromStationId,FromStationName,ToStationId,ToStationName,UserType
15176669,2015/11/29 13:29,2015/11/29 13:36,70038,418,1017,21st St & Penn Ave,1010,10th St & Penn Ave (David L. Lawrence Convention Center),Subscriber
15176687,2015/11/29 13:33,2015/11/29 13:49,70468,976,1027,Shady Ave and Ellsworth Ave,1020,42nd St & Penn Ave (Children's Hospital),Subscriber
15176715,2015/11/29 13:39,2015/11/29 13:49,70022,607,1000,Liberty Ave & Stanwix St.,1000,Liberty Ave & Stanwix St.,Subscriber
15176834,2015/11/29 14:03,2015/11/29 14:07,70054,292,1041,Fifth Ave & S Bouquet St,1034,Ellsworth Ave & N Neville St,Subscriber
15176890,2015/11/29 14:11,2015/11/29 14:27,70229,944,1016,17th St & Penn Ave,1007,Stevenson St & Forbes Ave,Subscriber
15176922,2015/11/29 14:15,2015/11/29 15:00,70116,2651,1045,S 27th St & Tunnel Blvd (Southside Works),1045,S 27th St & Tunnel Blvd (Southside Works),Subscriber
15176924,2015/11/29 14:16,2015/11/29 15:02,70079,2764,1045,S 27th St & Tunnel Blvd (Southside Works),1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15176926,2015/11/29 14:16,2015/11/29 15:00,70194,2622,1045,S 27th St & Tunnel Blvd (Southside Works),1045,S 27th St & Tunnel Blvd (Southside Works),Customer
15176972,2015/11/29 14:25,2015/11/29 16:11,70197,6348,1018,37th St & Butler St,1018,37th St & Butler St,Customer
15177001,2015/11/29 14:32,2015/11/29 14:44,70135,742,1015,Federal St & E North Ave,1001,Forbes Ave & Market Square,Subscriber
15177014,2015/11/29 14:36,2015/11/29 14:50,70338,892,1029,Alder St & S Highland Ave,1029,Alder St & S Highland Ave,Subscriber
15177020,2015/11/29 14:38,2015/11/29 14:54,70463,960,1036,Schenley Dr at Schenley Plaza (Carnegie Library,,,
15177065,2015/11/29 14:46,2015/11/29 15:00,70143,849,1020,42nd St & Penn Ave (Children's Hospital),1027,Shady Ave and Ellsworth Ave,Subscriber
15177231,2015/11/29 15:28,2015/11/29 15:41,70059,736,1036,Schenley Dr at Schenley Plaza (Carnegie Library,,,
15177404,2015/11/29 16:22,2015/11/29 17:23,70095,3684,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Customer
15177415,2015/11/29 16:23,2015/11/29 17:22,70097,3538,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Customer
15177421,2015/11/29 16:24,2015/11/29 16:26,70450,112,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Customer
15177422,2015/11/29 16:24,2015/11/29 16:25,70322,33,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Customer
15177430,2015/11/29 16:29,2015/11/29 17:25,70422,3346,1004,First Ave & B St (T Station),1004,First Ave & B St (T Station),Customer
15177431,2015/11/29 16:29,2015/11/29 16:33,70428,256,1028,Penn Ave & Putnam St -- Bakery Square,1029,Alder St & S Highland Ave,Subscriber
15177442,2015/11/29 16:31,2015/11/29 17:16,70238,2675,1012,North Shore Trail & Fort Duquesne Bridge,1001,Forbes Ave & Market Square,Customer
15177458,2015/11/29 16:36,2015/11/29 17:15,70226,2303,1012,North Shore Trail & Fort Duquesne Bridge,1051,Transit,Customer
